区域名称,内存地址,坐标X,坐标Y,宽度W,高度H,Tileset ID
HyruleTownMinishCaves,0811DB0E,73,64,272,272,0
HyruleTownMinishCaves,0811DB0E,73,49,272,240,0
HyruleTownMinishCaves,0811DB0E,34,49,240,240,0
HyruleTownMinishCaves,0811DB0E,0,0,0,0,65535
HyruleTownMinishCaves,0811DB0E,0,0,0,0,65535
HyruleTownMinishCaves,0811DB0E,0,0,0,0,65535
HyruleTownMinishCaves,0811DB0E,0,0,0,0,65535
HyruleTownMinishCaves,0811DB0E,0,0,0,0,65535
HyruleTownMinishCaves,0811DB0E,0,0,0,0,65535
HyruleTownMinishCaves,0811DB0E,0,0,0,0,65535
HyruleTownMinishCaves,0811DB0E,0,0,0,0,65535
HyruleTownMinishCaves,0811DB0E,0,0,0,0,65535
HyruleTownMinishCaves,0811DB0E,0,0,0,0,65535
HyruleTownMinishCaves,0811DB0E,0,0,0,0,65535
HyruleTownMinishCaves,0811DB0E,51,172,336,208,0
HyruleTownMinishCaves,0811DB0E,72,172,272,208,0
HyruleTownMinishCaves,0811DB0E,36,186,240,208,0
HyruleTownMinishCaves,0811DB0E,51,185,336,224,0
HyruleTownMinishCaves,0811DB0E,72,185,272,224,0
HyruleTownMinishCaves,0811DB0E,51,199,336,320,0
67,0811DBEC,0,0,240,160,0
67,0811DBEC,0,10,240,160,0
67,0811DBEC,0,20,240,160,0
67,0811DBEC,0,30,240,160,0
67,0811DBEC,0,40,240,240,0
67,0811DBEC,0,55,240,240,0
RoyalCrypt,0811DC2A,6,1,560,304,0
RoyalCrypt,0811DC2A,15,20,272,224,0
RoyalCrypt,0811DC2A,13,34,336,320,0
RoyalCrypt,0811DC2A,0,0,336,288,0
RoyalCrypt,0811DC2A,5,54,592,384,0
RoyalCrypt,0811DC2A,0,0,592,160,0
RoyalCrypt,0811DC2A,0,0,592,160,0
RoyalCrypt,0811DC2A,15,78,272,352,0
RoyalCrypt,0811DC2A,15,100,272,160,0
6F,0811DC86,0,0,640,640,0
PalaceOfWinds,0811DC92,65,19,720,480,0
PalaceOfWinds,0811DC92,35,49,240,160,0
PalaceOfWinds,0811DC92,50,45,240,224,0
PalaceOfWinds,0811DC92,65,49,720,160,0
PalaceOfWinds,0811DC92,110,49,240,160,0
PalaceOfWinds,0811DC92,5,59,240,480,0
PalaceOfWinds,0811DC92,20,59,240,480,0
PalaceOfWinds,0811DC92,35,59,240,480,0
PalaceOfWinds,0811DC92,50,59,240,320,0
PalaceOfWinds,0811DC92,65,59,240,160,0
PalaceOfWinds,0811DC92,50,79,240,208,0
PalaceOfWinds,0811DC92,65,69,240,160,0
PalaceOfWinds,0811DC92,50,611,240,256,0
PalaceOfWinds,0811DC92,65,79,240,160,0
PalaceOfWinds,0811DC92,80,69,240,320,0
PalaceOfWinds,0811DC92,20,167,720,320,0
PalaceOfWinds,0811DC92,65,167,720,480,0
PalaceOfWinds,0811DC92,20,187,240,480,0
PalaceOfWinds,0811DC92,35,187,480,160,0
PalaceOfWinds,0811DC92,20,217,480,320,0
PalaceOfWinds,0811DC92,50,217,240,320,0
PalaceOfWinds,0811DC92,35,197,720,320,0
PalaceOfWinds,0811DC92,20,305,480,320,0
PalaceOfWinds,0811DC92,80,325,240,320,0
PalaceOfWinds,0811DC92,20,325,240,640,0
PalaceOfWinds,0811DC92,35,345,480,320,0
PalaceOfWinds,0811DC92,65,345,480,320,0
PalaceOfWinds,0811DC92,35,325,240,160,0
PalaceOfWinds,0811DC92,50,325,240,160,0
PalaceOfWinds,0811DC92,65,325,240,160,0
PalaceOfWinds,0811DC92,35,335,240,160,0
PalaceOfWinds,0811DC92,50,335,240,160,0
PalaceOfWinds,0811DC92,65,335,240,160,0
PalaceOfWinds,0811DC92,20,423,720,480,0
PalaceOfWinds,0811DC92,65,423,480,480,0
PalaceOfWinds,0811DC92,35,473,240,320,0
PalaceOfWinds,0811DC92,50,473,480,320,0
PalaceOfWinds,0811DC92,35,453,240,160,0
PalaceOfWinds,0811DC92,50,453,240,160,0
PalaceOfWinds,0811DC92,65,453,240,160,0
PalaceOfWinds,0811DC92,35,463,240,160,0
PalaceOfWinds,0811DC92,50,463,240,160,0
PalaceOfWinds,0811DC92,65,463,240,160,0
PalaceOfWinds,0811DC92,20,473,240,320,0
PalaceOfWinds,0811DC92,20,551,480,480,0
PalaceOfWinds,0811DC92,50,551,480,480,0
PalaceOfWinds,0811DC92,80,561,272,640,0
PalaceOfWinds,0811DC92,50,601,240,160,0
PalaceOfWinds,0811DC92,65,601,512,320,0
PalaceOfWinds,0811DC92,65,621,720,176,0
PalaceOfWinds,0811DC92,35,581,720,320,0
PalaceOfWindsBoss,0811DE92,32,32,1024,1008,0
77,0811DE9E,34,21,640,832,0
Sanctuary,0811DEAA,10,66,400,560,0
Sanctuary,0811DEAA,8,26,464,640,0
Sanctuary,0811DEAA,13,4,304,352,0
7F,0811DECA,24,11,640,640,0
HyruleCastle,0811DED6,19,56,432,592,0
HyruleCastle,0811DED6,17,23,496,528,0
HyruleCastle,0811DED6,24,1,272,352,0
HyruleCastle,0811DED6,57,25,560,736,0
HyruleCastle,0811DED6,41,2,272,240,0
SanctuaryEntrance,0811DF0A,0,0,272,432,0
87,0811DF16,4,3,624,800,0
DarkHyruleCastle,0811DF22,39,339,816,576,0
DarkHyruleCastle,0811DF22,22,11,272,208,0
DarkHyruleCastle,0811DF22,90,11,272,208,0
DarkHyruleCastle,0811DF22,22,96,272,208,0
DarkHyruleCastle,0811DF22,90,96,272,208,0
DarkHyruleCastle,0811DF22,54,24,336,416,0
DarkHyruleCastle,0811DF22,54,8,336,256,0
DarkHyruleCastle,0811DF22,22,139,272,416,0
DarkHyruleCastle,0811DF22,39,139,272,416,0
DarkHyruleCastle,0811DF22,56,137,272,240,0
DarkHyruleCastle,0811DF22,56,152,272,208,0
DarkHyruleCastle,0811DF22,73,139,272,208,0
DarkHyruleCastle,0811DF22,73,152,272,208,0
DarkHyruleCastle,0811DF22,90,139,272,208,0
DarkHyruleCastle,0811DF22,39,165,272,208,0
DarkHyruleCastle,0811DF22,56,165,272,208,0
DarkHyruleCastle,0811DF22,73,165,272,208,0
DarkHyruleCastle,0811DF22,39,178,272,320,0
DarkHyruleCastle,0811DF22,73,178,272,320,0
DarkHyruleCastle,0811DF22,39,198,272,208,0
DarkHyruleCastle,0811DF22,56,198,272,208,0
DarkHyruleCastle,0811DF22,73,198,272,208,0
DarkHyruleCastle,0811DF22,39,211,272,208,0
DarkHyruleCastle,0811DF22,56,211,272,416,0
DarkHyruleCastle,0811DF22,73,211,272,416,0
DarkHyruleCastle,0811DF22,22,224,272,208,0
DarkHyruleCastle,0811DF22,39,224,272,208,0
DarkHyruleCastle,0811DF22,0,0,272,208,0
DarkHyruleCastle,0811DF22,56,454,272,208,0
DarkHyruleCastle,0811DF22,90,211,272,416,0
DarkHyruleCastle,0811DF22,22,267,272,208,0
DarkHyruleCastle,0811DF22,56,267,272,208,0
DarkHyruleCastle,0811DF22,73,267,272,208,0
DarkHyruleCastle,0811DF22,90,267,272,208,0
DarkHyruleCastle,0811DF22,56,280,272,208,0
DarkHyruleCastle,0811DF22,39,293,272,208,0
DarkHyruleCastle,0811DF22,56,293,272,208,0
DarkHyruleCastle,0811DF22,73,293,272,208,0
DarkHyruleCastle,0811DF22,39,306,272,320,0
DarkHyruleCastle,0811DF22,73,306,272,320,0
DarkHyruleCastle,0811DF22,39,326,272,208,0
DarkHyruleCastle,0811DF22,56,326,272,208,0
DarkHyruleCastle,0811DF22,73,326,272,208,0
DarkHyruleCastle,0811DF22,22,352,272,208,0
DarkHyruleCastle,0811DF22,90,352,272,208,0
DarkHyruleCastle,0811DF22,56,395,272,208,0
DarkHyruleCastle,0811DF22,73,395,272,208,0
DarkHyruleCastle,0811DF22,56,408,272,208,0
DarkHyruleCastle,0811DF22,39,421,272,208,0
DarkHyruleCastle,0811DF22,56,421,272,208,0
DarkHyruleCastle,0811DF22,73,421,272,208,0
DarkHyruleCastle,0811DF22,39,434,272,320,0
DarkHyruleCastle,0811DF22,73,434,272,320,0
DarkHyruleCastle,0811DF22,39,454,272,208,0
DarkHyruleCastle,0811DF22,73,454,272,208,0
DarkHyruleCastle,0811DF22,39,467,816,416,0
DarkHyruleCastle,0811DF22,39,549,272,240,0
DarkHyruleCastle,0811DF22,56,549,544,240,0
DarkHyruleCastle,0811DF22,39,564,272,288,0
DarkHyruleCastleOutside,0811E172,57,13,240,400,0
DarkHyruleCastleOutside,0811E172,56,50,272,432,0
DarkHyruleCastleOutside,0811E172,22,11,272,416,0
DarkHyruleCastleOutside,0811E172,90,11,272,624,0
DarkHyruleCastleOutside,0811E172,90,50,272,320,0
DarkHyruleCastleOutside,0811E172,22,96,272,416,0
DarkHyruleCastleOutside,0811E172,39,96,816,416,0
DarkHyruleCastleOutside,0811E172,90,70,272,832,0
VaatisArms,0811E1C4,0,0,304,224,0
VaatisArms,0811E1C4,22,0,304,224,0
VaatisArms,0811E1C4,44,0,304,224,0
Vaati3,0811E1E4,0,0,352,240,0
Vaati2,0811E1F0,17,13,352,240,0
DarkHyruleCastleBridge,0811E1FC,0,0,272,320,0
8F,0811E208,0,0,640,800,0
